id,Width,height,Size
TPPL2.JPG,4333,6000,53.72
TREC0027.JPG,6000,3885,103
TREC0053.JPG,6432,10063,118.36
TREC0091.JPG,5500,3570,86.55
TREC0400.JPG,6000,3942,103
TSQ0033.JPG,5856,6000,98.11
TSQ0228.JPG,5993,6000,102.76
TSQ022811.JPG,9095,4113,236.66
TSQ0595.JPG,5452,5324,85.04
TSQ1016.JPG,5464,5500,85.42
TSQ108ST.JPG,5893,5724,99.36
TSQ174.JPG,5753,6000,94.69
TSQ179.JPG,9111,8891,237.49
TSQ53.JPG,6000,5851,103
TSQ545.JPG,8495,9108,206.47
TSQ697.JPG,8790,8773,221.05
TSQ711.JPG,8496,8888,206.51
TSQ719.JPG,5286,5500,79.94
