id,Width,height,Ratio(Width),Ratio(Height),Size 1,Our Actual Size,Size 2,Our Actual Size,Size 3,Our Actual Size,Size 4,Our Actual Size,Size 5,Our Actual Size,Width(Inch),Height(Inch)
FLPT_CS_C06_1428.JPG,3448,5150,1724,2575,12,8.034174757,16,10.71223301,24,16.06834951,32,21.42446602,40,26.78058252,34.48,51.5
FLPT_SK_0602.JPG,5130,3407,5130,3407,12,18.06868213,16,24.09157617,24,36.13736425,32,48.18315233,40,60.22894042,51.3,34.07
FLPT_SI_0701.JPG,5120,3413,5120,3413,12,18.00175798,16,24.00234398,24,36.00351597,32,48.00468796,40,60.00585995,51.2,34.13
FLPT_GP_0453.JPG,3420,5130,2,3,12,8,16,10.66666667,24,16,32,21.33333333,40,26.66666667,34.2,51.3
FLPT_DR_0108.JPG,3368,5190,1684,2595,12,7.787283237,16,10.38304432,24,15.57456647,32,20.76608863,40,25.95761079,33.68,51.9
FLPT_SI_0734.JPG,5100,3715,1020,743,12,16.47375505,16,21.96500673,24,32.94751009,32,43.93001346,40,54.91251682,51,37.15
FLPT_PB_09.JPG,4664,3771,4664,3771,12,14.84168656,16,19.78891541,24,29.68337311,32,39.57783081,40,49.47228852,46.64,37.71
FLPT_PT_0018.JPG,2775,6308,2775,6308,12,5.27901078,16,7.03868104,24,10.55802156,32,14.07736208,40,17.5967026,27.75,63.08
FLPT_SK_0191.JPG,5123,3429,5123,3429,12,17.92825897,16,23.90434529,24,35.85651794,32,47.80869058,40,59.76086323,51.23,34.29
FLPT_PT_0110.JPG,4037,4550,4037,4550,12,10.64703297,16,14.19604396,24,21.29406593,32,28.39208791,40,35.49010989,40.37,45.5
FLPT_AKC_0089.JPG,3422,5132,1711,2566,12,8.001558846,16,10.66874513,24,16.00311769,32,21.33749026,40,26.67186282,34.22,51.32
FLPT_MPK_0331.JPG,5132,3422,2566,1711,12,17.99649328,16,23.99532437,24,35.99298656,32,47.99064874,40,59.98831093,51.32,34.22
FLPT_GP_0240.JPG,5132,3422,2566,1711,12,17.99649328,16,23.99532437,24,35.99298656,32,47.99064874,40,59.98831093,51.32,34.22
FLPT_DZ_85.JPG,3431,5094,3431,5094,12,8.082449941,16,10.77659992,24,16.16489988,32,21.55319984,40,26.9414998,34.31,50.94
FLPT_MAM_0343.JPG,3554,4942,1777,2471,12,8.629704573,16,11.50627276,24,17.25940915,32,23.01254553,40,28.76568191,35.54,49.42
FLPT_MO_175.JPG,3729,5100,1243,1700,12,8.774117647,16,11.69882353,24,17.54823529,32,23.39764706,40,29.24705882,37.29,51
FLPT_MPK_0385.JPG,5078,3460,2539,1730,12,17.61156069,16,23.48208092,24,35.22312139,32,46.96416185,40,58.70520231,50.78,34.6
