id,Width,height,Ratio(Width),Ratio(Height),Width Max 100 DPI(Inches),Height Max 100 DPI(Inches)
FLPT_SK_0518.JPG,3377,5170,307,470,33.77,51.7
FLPT_MPK_0156.JPG,5100,3484,1275,871,51,34.84
FLPT_MAM_0326.JPG,3432,5167,3432,5167,34.32,51.67
FLPT_CL_0151.JPG,3413,5120,3413,5120,34.13,51.2
FLPT_FL_0052.JPG,5123,3429,5123,3429,51.23,34.29
FLPT_MPK_114.JPG,3404,5203,3404,5203,34.04,52.03
FLPT_CS_C07_2917.JPG,5150,4002,2575,2001,51.5,40.02
FLPT_JP_0075.JPG,3427,5137,3427,5137,34.27,51.37
FLPT_PST_0030.JPG,3399,5156,3399,5156,33.99,51.56
FLPT_TH_0006.JPG,3402,5188,1701,2594,34.02,51.88
FLPT_MA_0106.JPG,4831,3623,4831,3623,48.31,36.23
FLPT_TH_0060.JPG,3383,5235,3383,5235,33.83,52.35
FLPT_CS_C07_4238.JPG,5150,3448,2575,1724,51.5,34.48
FLPT_MH_0055.JPG,4159,5100,4159,5100,41.59,51
FLPT_BA_30.JPG,3373,5203,3373,5203,33.73,52.03
FLPT_PT_0090.JPG,3896,5100,974,1275,38.96,51
FLPT_MAM_0476.JPG,5167,3432,5167,3432,51.67,34.32
FLPT_SK_0237.JPG,5123,3429,5123,3429,51.23,34.29
FLPT_MPK_0185.JPG,5168,3406,2584,1703,51.68,34.06
FLPT_MPK_0253.JPG,5132,3422,2566,1711,51.32,34.22
FLPT_CS_D002.JPG,5100,3740,15,11,51,37.4
FLPT_LB_0184.JPG,3422,5132,1711,2566,34.22,51.32
FLPT_PT_0426.JPG,3407,5130,3407,5130,34.07,51.3
FLPT_VG_44.JPG,4487,4550,641,650,44.87,45.5
FLPT_CPD_0060.JPG,3420,5130,2,3,34.2,51.3
FLPT_SI_0511.JPG,3413,5120,3413,5120,34.13,51.2
FLPT_LB_0231.JPG,3420,5130,2,3,34.2,51.3
