id,Size 1,Our Actual Size,Size 2,Our Actual Size,Size 3,Our Actual Size,Size 4,Our Actual Size,Size 5,Our Actual Size
FLPT_PT_0016.JPG,12,11.94197802,16,15.92263736,24,23.88395604,32,31.84527473,40,39.80659341
FLPT_CW_59.JPG,12,8.849411765,16,11.79921569,24,17.69882353,32,23.59843137,40,29.49803922
FLPT_LW_0001.JPG,12,18.04735457,16,24.06313943,24,36.09470915,32,48.12627887,40,60.15784858
FLPT_LOD_43.JPG,12,7.863097514,16,10.48413002,24,15.72619503,32,20.96826004,40,26.21032505
FLPT_FC_0020.JPG,12,7.978227061,16,10.63763608,24,15.95645412,32,21.27527216,40,26.5940902
FLPT_JLP_0071.JPG,12,18.38509317,16,24.51345756,24,36.77018634,32,49.02691511,40,61.28364389
FLPT_PT_0492.JPG,12,7.969590643,16,10.62612086,24,15.93918129,32,21.25224172,40,26.56530214
FLPT_DZ_0482.JPG,12,8.418823529,16,11.22509804,24,16.83764706,32,22.45019608,40,28.0627451
FLPT_EJ_0010.JPG,12,11.94989011,16,15.93318681,24,23.89978022,32,31.86637363,40,39.83296703
FLPT_MPK_0964.JPG,12,8,16,10.66666667,24,16,32,21.33333333,40,26.66666667
FLPT_CL_0165.JPG,12,7.99921875,16,10.665625,24,15.9984375,32,21.33125,40,26.6640625
FLPT_CS_2540.JPG,12,17.6990432,16,23.59872427,24,35.3980864,32,47.19744854,40,58.99681067
FLPT_CS_999A.JPG,12,9.630588235,16,12.84078431,24,19.26117647,32,25.68156863,40,32.10196078
FLPT_SI_0188.JPG,12,18.00175798,16,24.00234398,24,36.00351597,32,48.00468796,40,60.00585995
FLPT_TH_0147.JPG,12,18,16,24,24,36,32,48,40,60
FLPT_KB_0043.JPG,12,18.04912281,16,24.06549708,24,36.09824561,32,48.13099415,40,60.16374269
FLPT_MPK_0434.JPG,12,8,16,10.66666667,24,16,32,21.33333333,40,26.66666667
FLPT_RE_0227.JPG,12,8.039766082,16,10.71968811,24,16.07953216,32,21.43937622,40,26.79922027
FLPT_VG_0093.JPG,12,8.185882353,16,10.9145098,24,16.37176471,32,21.82901961,40,27.28627451
FLPT_CS_C09_4676.JPG,12,7.985242718,16,10.64699029,24,15.97048544,32,21.29398058,40,26.61747573
FLPT_MAM_0059.JPG,12,18.06670568,16,24.0889409,24,36.13341135,32,48.1778818,40,60.22235225
FLPT_MAM_0333.JPG,12,7.970582543,16,10.62744339,24,15.94116509,32,21.25488678,40,26.56860848
FLPT_CS_2664.JPG,12,18.21750663,16,24.29000884,24,36.43501326,32,48.58001768,40,60.7250221
FLPT_SI_0115.JPG,12,8.06876343,16,10.75835124,24,16.13752686,32,21.51670248,40,26.8958781
FLPT_CL_0076.JPG,12,12,16,16,24,24,32,32,40,40
FLPT_AB_0040.JPG,12,11.40131868,16,15.20175824,24,22.80263736,32,30.40351648,40,38.0043956
FLPT_MPK_0502.JPG,12,18,16,24,24,36,32,48,40,60
FLPT_GC_0443.JPG,12,7.884057971,16,10.51207729,24,15.76811594,32,21.02415459,40,26.28019324
FLPT_CL_0067.JPG,12,18.36792453,16,24.49056604,24,36.73584906,32,48.98113208,40,61.22641509
FLPT_AK_81.JPG,12,7.978239751,16,10.637653,24,15.9564795,32,21.275306,40,26.5941325
FLPT_PST_0153.JPG,12,18.4943687,16,24.65915827,24,36.9887374,32,49.31831654,40,61.64789567
FLPT_CS_2981.JPG,12,8.304950495,16,11.07326733,24,16.60990099,32,22.14653465,40,27.68316832
FLPT_SI_0111.JPG,12,11.92087912,16,15.89450549,24,23.84175824,32,31.78901099,40,39.73626374
FLPT_SI_0160.JPG,12,8.260972716,16,11.01463029,24,16.52194543,32,22.02926058,40,27.53657572
FLPT_CS_C08_2201.JPG,12,8.033659491,16,10.71154599,24,16.06731898,32,21.42309198,40,26.77886497
FLPT_CS_2958.JPG,12,18.50162482,16,24.66883309,24,37.00324963,32,49.33766617,40,61.67208272
FLPT_JN_0059.JPG,12,8.061032864,16,10.74804382,24,16.12206573,32,21.49608764,40,26.87010955
FLPT_CS_1027.JPG,12,7.946261682,16,10.59501558,24,15.89252336,32,21.19003115,40,26.48753894
FLPT_JP_0073.JPG,12,8.437647059,16,11.25019608,24,16.87529412,32,22.50039216,40,28.1254902
FLPT_CS_1781.JPG,12,8.063454759,16,10.75127301,24,16.12690952,32,21.50254602,40,26.87818253
FLPT_JBE_0209.JPG,12,8.925986842,16,11.90131579,24,17.85197368,32,23.80263158,40,29.75328947
FLPT_VG_67.JPG,12,17.9599884,16,23.9466512,24,35.9199768,32,47.89330241,40,59.86662801
FLPT_SI_0446.JPG,12,8,16,10.66666667,24,16,32,21.33333333,40,26.66666667
FLPT_GP_0578.JPG,12,7.99921875,16,10.665625,24,15.9984375,32,21.33125,40,26.6640625
FLPT_MPK_0966.JPG,12,8,16,10.66666667,24,16,32,21.33333333,40,26.66666667
FLPT_SI_0166.JPG,12,12,16,16,24,24,32,32,40,40
FLPT_PST_0102.JPG,12,7.865429234,16,10.48723898,24,15.73085847,32,20.97447796,40,26.21809745
FLPT_IR_0093.JPG,12,17.61151079,16,23.48201439,24,35.22302158,32,46.96402878,40,58.70503597
FLPT_BA_0065.JPG,12,8.941176471,16,11.92156863,24,17.88235294,32,23.84313725,40,29.80392157
FLPT_CS_C09_4902.JPG,12,7.985242718,16,10.64699029,24,15.97048544,32,21.29398058,40,26.61747573
FLPT_CS_2362.JPG,12,17.30769231,16,23.07692308,24,34.61538462,32,46.15384615,40,57.69230769
FLPT_SI_0225.JPG,12,18.00175798,16,24.00234398,24,36.00351597,32,48.00468796,40,60.00585995
FLPT_MPK_0883.JPG,12,8,16,10.66666667,24,16,32,21.33333333,40,26.66666667
FLPT_SK_0116.JPG,12,17.65214883,16,23.53619844,24,35.30429766,32,47.07239688,40,58.84049611
FLPT_SUB_0147.JPG,12,18.41777778,16,24.55703704,24,36.83555556,32,49.11407407,40,61.39259259
FLPT_SI_0273.JPG,12,17.99648506,16,23.99531342,24,35.99297012,32,47.99062683,40,59.98828354
FLPT_TH_0077.JPG,12,18.50593824,16,24.67458432,24,37.01187648,32,49.34916865,40,61.68646081
FLPT_CS_C08_7872.JPG,12,17.92343387,16,23.89791183,24,35.84686775,32,47.79582367,40,59.74477958
FLPT_CS_1346.JPG,12,17.59631972,16,23.46175963,24,35.19263945,32,46.92351926,40,58.65439908
FLPT_DR_0128.JPG,12,18.48812352,16,24.65083135,24,36.97624703,32,49.30166271,40,61.62707838
FLPT_SK_0422.JPG,12,8.03203125,16,10.709375,24,16.0640625,32,21.41875,40,26.7734375
FLPT_SI_0086.JPG,12,8.074810053,16,10.7664134,24,16.14962011,32,21.53282681,40,26.91603351
FLPT_CS_2296.JPG,12,17.84104803,16,23.78806405,24,35.68209607,32,47.57612809,40,59.47016012
FLPT_DZ_0680.JPG,12,18.00175798,16,24.00234398,24,36.00351597,32,48.00468796,40,60.00585995
FLPT_CS_230.JPG,12,17.93932389,16,23.91909853,24,35.87864779,32,47.83819705,40,59.79774632
FLPT_MH_0060.JPG,12,8.555294118,16,11.40705882,24,17.11058824,32,22.81411765,40,28.51764706
FLPT_CS_2640.JPG,12,7.938104449,16,10.58413926,24,15.8762089,32,21.16827853,40,26.46034816
FLPT_FC_0012.JPG,12,7.978227061,16,10.63763608,24,15.95645412,32,21.27527216,40,26.5940902
FLPT_MPK_0202.JPG,12,17.99649328,16,23.99532437,24,35.99298656,32,47.99064874,40,59.98831093
FLPT_PT_0108.JPG,12,5.42239308,16,7.22985744,24,10.84478616,32,14.45971488,40,18.0746436
FLPT_AMF_0089.JPG,12,7.969590643,16,10.62612086,24,15.93918129,32,21.25224172,40,26.56530214
FLPT_SI_0632.JPG,12,8,16,10.66666667,24,16,32,21.33333333,40,26.66666667
FLPT_LB_0181.JPG,12,8.312450436,16,11.08326725,24,16.62490087,32,22.1665345,40,27.70816812
FLPT_MAM_0657.JPG,12,7.970582543,16,10.62744339,24,15.94116509,32,21.25488678,40,26.56860848
FLPT_SK_0695.JPG,12,9.052981508,16,12.07064201,24,18.10596302,32,24.14128402,40,30.17660503
FLPT_CS_C08_0826.JPG,12,17.92343387,16,23.89791183,24,35.84686775,32,47.79582367,40,59.74477958
FLPT_NM_44.JPG,12,11.28263736,16,15.04351648,24,22.56527473,32,30.08703297,40,37.60879121
FLPT_CS_2109.JPG,12,8.163586315,16,10.88478175,24,16.32717263,32,21.76956351,40,27.21195438
FLPT_MPK_06X.JPG,12,18.27756765,16,24.37009019,24,36.55513529,32,48.74018039,40,60.92522549
FLPT_MAM_0681.JPG,12,7.970582543,16,10.62744339,24,15.94116509,32,21.25488678,40,26.56860848
FLPT_MAM_0423.JPG,12,7.970582543,16,10.62744339,24,15.94116509,32,21.25488678,40,26.56860848
FLPT_MAM_0445.JPG,12,18.06643357,16,24.08857809,24,36.13286713,32,48.17715618,40,60.22144522
FLPT_FL_0059.JPG,12,17.92825897,16,23.90434529,24,35.85651794,32,47.80869058,40,59.76086323
FLPT_SK_0743.JPG,12,18.06670568,16,24.0889409,24,36.13341135,32,48.1778818,40,60.22235225
FLPT_AMF_0109.JPG,12,7.969590643,16,10.62612086,24,15.93918129,32,21.25224172,40,26.56530214
FLPT_CS_C06_2575.JPG,12,17.92343387,16,23.89791183,24,35.84686775,32,47.79582367,40,59.74477958
